a 2801 ⠁
b 2803 ⠃
c 2809 ⠉
ć 2829 ⠩
č 2821 ⠡
d 2819 ⠙
đ 2839 ⠹
dž 283B ⠻
e 2811 ⠑
f 280B ⠋
g 281B ⠛
h 2813 ⠓
i 280A ⠊
j 281A ⠚
k 2805 ⠅
l 2807 ⠇
lj 2823 ⠣
m 280D ⠍
n 281D ⠝
nj 282B ⠫
o 2815 ⠕
p 280F ⠏
q 281F ⠟
r 2817 ⠗
s 280E ⠎
š 2831 ⠱
t 281E ⠞
u 2825 ⠥
v 2827 ⠧
w 283A ⠺
x 282D ⠭
y 283D ⠽
z 2835 ⠵
ž 282E ⠮
1 2801 ⠁
2 2803 ⠃
3 2809 ⠉
4 2819 ⠙
5 2811 ⠑
6 280B ⠋
7 281B ⠛
8 2813 ⠓
9 280A ⠊
0 281A ⠚
, 2802 ⠂
; 2806 ⠆
: 2812 ⠒
. 2804 ⠄
/ 2833 ⠳
– 2824 ⠤
? 2822 ⠢
! 2816 ⠖
' 2832 ⠲
& 282F ⠯
’ 2832 ⠲
= 28102836 ⠐⠶
" 2826 ⠦
